n_splits,max_depth,min_samples_leaf,min_samples_split,n_estimators,random_state,mean_test_score
3,3,1,2,50,7,0.8372528227882815
3,3,1,2,50,21,0.8351036836482791
3,3,1,2,50,42,0.8167290088867954
3,3,1,2,50,123,0.8391687745792994
3,3,1,2,100,7,0.8374678821959126
3,3,1,2,100,21,0.8399141151216551
3,3,1,2,100,42,0.8238045883731093
3,3,1,2,100,123,0.8365932934697087
3,3,1,2,150,7,0.8367968894668479
3,3,1,2,150,21,0.8399589630145327
3,3,1,2,150,42,0.825478697679075
3,3,1,2,150,123,0.8287679790749557
3,3,1,4,50,7,0.8372958100780595
3,3,1,4,50,21,0.8348573005701336
3,3,1,4,50,42,0.8174648717548855
3,3,1,4,50,123,0.8384253569552663
3,3,1,4,100,7,0.8373990241901038
3,3,1,4,100,21,0.8402787346763024
3,3,1,4,100,42,0.8238133818991229
3,3,1,4,100,123,0.8364037898969171
3,3,1,4,150,7,0.8369747029123719
3,3,1,4,150,21,0.8403703422040621
3,3,1,4,150,42,0.8254432777260053
3,3,1,4,150,123,0.8283465820470205
3,3,1,6,50,7,0.8364408687975766
3,3,1,6,50,21,0.8345443788660726
3,3,1,6,50,42,0.8168930769716556
3,3,1,6,50,123,0.8379319902351092
3,3,1,6,100,7,0.8369768687823309
3,3,1,6,100,21,0.8403099601522016
3,3,1,6,100,42,0.8230849471497232
3,3,1,6,100,123,0.8356053708844936
3,3,1,6,150,7,0.8369568393467555
3,3,1,6,150,21,0.8401534374347811
3,3,1,6,150,42,0.8244497669822847
3,3,1,6,150,123,0.8276418619951289
3,3,2,2,50,7,0.8369502613715655
3,3,2,2,50,21,0.8345216248701978
3,3,2,2,50,42,0.8181880776679029
3,3,2,2,50,123,0.8391372129923452
3,3,2,2,100,7,0.8376956801863183
3,3,2,2,100,21,0.8404447095993266
3,3,2,2,100,42,0.8239770353544369
3,3,2,2,100,123,0.8367359818550887
3,3,2,2,150,7,0.8375353512293656
3,3,2,2,150,21,0.8406267561337456
3,3,2,2,150,42,0.8253971110319117
3,3,2,2,150,123,0.8286172704762804
3,3,2,4,50,7,0.8369502613715655
3,3,2,4,50,21,0.8345216248701978
3,3,2,4,50,42,0.8181880776679029
3,3,2,4,50,123,0.8391372129923452
3,3,2,4,100,7,0.8376956801863183
3,3,2,4,100,21,0.8404447095993266
3,3,2,4,100,42,0.8239770353544369
3,3,2,4,100,123,0.8367359818550887
3,3,2,4,150,7,0.8375353512293656
3,3,2,4,150,21,0.8406267561337456
3,3,2,4,150,42,0.8253971110319117
3,3,2,4,150,123,0.8286172704762804
3,3,2,6,50,7,0.8359854439534701
3,3,2,6,50,21,0.8341771912211456
3,3,2,6,50,42,0.8176590571902594
3,3,2,6,50,123,0.8384599901609283
3,3,2,6,100,7,0.8370988907407076
3,3,2,6,100,21,0.8402491903823863
3,3,2,6,100,42,0.8231349401484697
3,3,2,6,100,123,0.8358350545894271
3,3,2,6,150,7,0.837402028921222
3,3,2,6,150,21,0.8402203434474651
3,3,2,6,150,42,0.8243063757375353
3,3,2,6,150,123,0.8277124750559914
3,3,3,2,50,7,0.8356327638844281
3,3,3,2,50,21,0.8326395409891362
3,3,3,2,50,42,0.8170309876693694
3,3,3,2,50,123,0.8358533095838058
3,3,3,2,100,7,0.83629726377502
3,3,3,2,100,21,0.839057431544466
3,3,3,2,100,42,0.8219991865178535
3,3,3,2,100,123,0.8331943894260622
3,3,3,2,150,7,0.8368529033657107
3,3,3,2,150,21,0.8393883740229113
3,3,3,2,150,42,0.8233753437302543
3,3,3,2,150,123,0.8260650675824165
3,3,3,4,50,7,0.8356327638844281
3,3,3,4,50,21,0.8326395409891362
3,3,3,4,50,42,0.8170309876693694
3,3,3,4,50,123,0.8358533095838058
3,3,3,4,100,7,0.83629726377502
3,3,3,4,100,21,0.839057431544466
3,3,3,4,100,42,0.8219991865178535
3,3,3,4,100,123,0.8331943894260622
3,3,3,4,150,7,0.8368529033657107
3,3,3,4,150,21,0.8393883740229113
3,3,3,4,150,42,0.8233753437302543
3,3,3,4,150,123,0.8260650675824165
3,3,3,6,50,7,0.8356327638844281
3,3,3,6,50,21,0.8326395409891362
3,3,3,6,50,42,0.8170309876693694
3,3,3,6,50,123,0.8358533095838058
3,3,3,6,100,7,0.83629726377502
3,3,3,6,100,21,0.839057431544466
3,3,3,6,100,42,0.8219991865178535
3,3,3,6,100,123,0.8331943894260622
3,3,3,6,150,7,0.8368529033657107
3,3,3,6,150,21,0.8393883740229113
3,3,3,6,150,42,0.8233753437302543
3,3,3,6,150,123,0.8260650675824165
3,5,1,2,50,7,0.8718967980282787
3,5,1,2,50,21,0.8733588412793173
3,5,1,2,50,42,0.8509166508926042
3,5,1,2,50,123,0.87319589546163
3,5,1,2,100,7,0.8721435586540931
3,5,1,2,100,21,0.8783468707115216
3,5,1,2,100,42,0.857922554465857
3,5,1,2,100,123,0.8705306297011454
3,5,1,2,150,7,0.871659199250432
3,5,1,2,150,21,0.8799487297800462
3,5,1,2,150,42,0.8606938482729839
3,5,1,2,150,123,0.8639229723216557
3,5,1,4,50,7,0.8696521838576
3,5,1,4,50,21,0.867556829447479
3,5,1,4,50,42,0.847591040048948
3,5,1,4,50,123,0.8692125442680028
3,5,1,4,100,7,0.8699729996921531
3,5,1,4,100,21,0.873188571240313
3,5,1,4,100,42,0.8567258974066313
3,5,1,4,100,123,0.8684196960727976
3,5,1,4,150,7,0.8700509315137919
3,5,1,4,150,21,0.8760721183531093
3,5,1,4,150,42,0.8591459036766688
3,5,1,4,150,123,0.8621849951832724
3,5,1,6,50,7,0.8675133809663391
3,5,1,6,50,21,0.8656833241906514
3,5,1,6,50,42,0.8457711847888684
3,5,1,6,50,123,0.8619226549856425
3,5,1,6,100,7,0.8670706403433877
3,5,1,6,100,21,0.8689299269610794
3,5,1,6,100,42,0.8508719282542186
3,5,1,6,100,123,0.8620212062357006
3,5,1,6,150,7,0.8666119214277946
3,5,1,6,150,21,0.8718263313011904
3,5,1,6,150,42,0.8536322880440971
3,5,1,6,150,123,0.855306888928182
3,5,2,2,50,7,0.8688148386720013
3,5,2,2,50,21,0.8652807524375685
3,5,2,2,50,42,0.8466955819902876
3,5,2,2,50,123,0.8676478969846663
3,5,2,2,100,7,0.8684552393861861
3,5,2,2,100,21,0.8700548400065209
3,5,2,2,100,42,0.8535693618857261
3,5,2,2,100,123,0.866021871455796
3,5,2,2,150,7,0.8684682319034923
3,5,2,2,150,21,0.8737077616862233
3,5,2,2,150,42,0.8556320708948757
3,5,2,2,150,123,0.8582617270959069
3,5,2,4,50,7,0.8688148386720013
3,5,2,4,50,21,0.8652807524375685
3,5,2,4,50,42,0.8466955819902876
3,5,2,4,50,123,0.8676478969846663
3,5,2,4,100,7,0.8684552393861861
3,5,2,4,100,21,0.8700548400065209
3,5,2,4,100,42,0.8535693618857261
3,5,2,4,100,123,0.866021871455796
3,5,2,4,150,7,0.8684682319034923
3,5,2,4,150,21,0.8737077616862233
3,5,2,4,150,42,0.8556320708948757
3,5,2,4,150,123,0.8582617270959069
3,5,2,6,50,7,0.8666861724653234
3,5,2,6,50,21,0.8645714024512362
3,5,2,6,50,42,0.8448548036317928
3,5,2,6,50,123,0.8616011022817714
3,5,2,6,100,7,0.8668038656944977
3,5,2,6,100,21,0.8668821916262934
3,5,2,6,100,42,0.8499971323986157
3,5,2,6,100,123,0.8621553784618264
3,5,2,6,150,7,0.8660944364625323
3,5,2,6,150,21,0.8691057927270666
3,5,2,6,150,42,0.853025406129543
3,5,2,6,150,123,0.8539364140985977
3,5,3,2,50,7,0.8609128206382533
3,5,3,2,50,21,0.858524806956387
3,5,3,2,50,42,0.8439729598192797
3,5,3,2,50,123,0.8572291758099911
3,5,3,2,100,7,0.8629652530404671
3,5,3,2,100,21,0.8627715549226737
3,5,3,2,100,42,0.8484088455701378
3,5,3,2,100,123,0.8574363217001609
3,5,3,2,150,7,0.8621428154454471
3,5,3,2,150,21,0.8651690422044482
3,5,3,2,150,42,0.8504781914601262
3,5,3,2,150,123,0.8505849014723011
3,5,3,4,50,7,0.8609128206382533
3,5,3,4,50,21,0.858524806956387
3,5,3,4,50,42,0.8439729598192797
3,5,3,4,50,123,0.8572291758099911
3,5,3,4,100,7,0.8629652530404671
3,5,3,4,100,21,0.8627715549226737
3,5,3,4,100,42,0.8484088455701378
3,5,3,4,100,123,0.8574363217001609
3,5,3,4,150,7,0.8621428154454471
3,5,3,4,150,21,0.8651690422044482
3,5,3,4,150,42,0.8504781914601262
3,5,3,4,150,123,0.8505849014723011
3,5,3,6,50,7,0.8609128206382533
3,5,3,6,50,21,0.858524806956387
3,5,3,6,50,42,0.8439729598192797
3,5,3,6,50,123,0.8572291758099911
3,5,3,6,100,7,0.8629652530404671
3,5,3,6,100,21,0.8627715549226737
3,5,3,6,100,42,0.8484088455701378
3,5,3,6,100,123,0.8574363217001609
3,5,3,6,150,7,0.8621428154454471
3,5,3,6,150,21,0.8651690422044482
3,5,3,6,150,42,0.8504781914601262
3,5,3,6,150,123,0.8505849014723011
3,7,1,2,50,7,0.8751687598530377
3,7,1,2,50,21,0.8763946554033469
3,7,1,2,50,42,0.8581638926517671
3,7,1,2,50,123,0.8788417575756927
3,7,1,2,100,7,0.8777341638869788
3,7,1,2,100,21,0.8819429435171923
3,7,1,2,100,42,0.8653499956930392
3,7,1,2,100,123,0.875049798459445
3,7,1,2,150,7,0.8780825730160365
3,7,1,2,150,21,0.8848989695646393
3,7,1,2,150,42,0.8700172586471072
3,7,1,2,150,123,0.8680376649539333
3,7,1,4,50,7,0.8732604896392795
3,7,1,4,50,21,0.8751454201805494
3,7,1,4,50,42,0.8545680790640996
3,7,1,4,50,123,0.8738363943422054
3,7,1,4,100,7,0.8766111583289634
3,7,1,4,100,21,0.8800023465777199
3,7,1,4,100,42,0.8615263591220331
3,7,1,4,100,123,0.8736873823436748
3,7,1,4,150,7,0.8765013778024587
3,7,1,4,150,21,0.8828424984771769
3,7,1,4,150,42,0.8650683020713495
3,7,1,4,150,123,0.86624791924406
3,7,1,6,50,7,0.8683007896556875
3,7,1,6,50,21,0.8673169613563171
3,7,1,6,50,42,0.851010882340503
3,7,1,6,50,123,0.8687047223096718
3,7,1,6,100,7,0.8695569101316861
3,7,1,6,100,21,0.8747588958106659
3,7,1,6,100,42,0.8570032913757618
3,7,1,6,100,123,0.8666836448235661
3,7,1,6,150,7,0.8709447206384944
3,7,1,6,150,21,0.8769735018534145
3,7,1,6,150,42,0.8609923236576931
3,7,1,6,150,123,0.8595621979697681
3,7,2,2,50,7,0.8720178165559466
3,7,2,2,50,21,0.8699911320334611
3,7,2,2,50,42,0.850536367634639
3,7,2,2,50,123,0.8710445204294782
3,7,2,2,100,7,0.8736768604078056
3,7,2,2,100,21,0.8738549380080496
3,7,2,2,100,42,0.8588782228298412
3,7,2,2,100,123,0.8705717584771957
3,7,2,2,150,7,0.8746211276244799
3,7,2,2,150,21,0.8769016952876539
3,7,2,2,150,42,0.8624067187331873
3,7,2,2,150,123,0.862250435071568
3,7,2,4,50,7,0.8720178165559466
3,7,2,4,50,21,0.8699911320334611
3,7,2,4,50,42,0.850536367634639
3,7,2,4,50,123,0.8710445204294782
3,7,2,4,100,7,0.8736768604078056
3,7,2,4,100,21,0.8738549380080496
3,7,2,4,100,42,0.8588782228298412
3,7,2,4,100,123,0.8705717584771957
3,7,2,4,150,7,0.8746211276244799
3,7,2,4,150,21,0.8769016952876539
3,7,2,4,150,42,0.8624067187331873
3,7,2,4,150,123,0.862250435071568
3,7,2,6,50,7,0.8677959035088741
3,7,2,6,50,21,0.8660728430940235
3,7,2,6,50,42,0.8492022846244902
3,7,2,6,50,123,0.868149950865068
3,7,2,6,100,7,0.8687071073347475
3,7,2,6,100,21,0.8709821661009651
3,7,2,6,100,42,0.8548032804298645
3,7,2,6,100,123,0.8665532346426873
3,7,2,6,150,7,0.8695428171870491
3,7,2,6,150,21,0.874133859167709
3,7,2,6,150,42,0.857935190398082
3,7,2,6,150,123,0.8593792143058941
3,7,3,2,50,7,0.8663697497034494
3,7,3,2,50,21,0.8599264786984042
3,7,3,2,50,42,0.8433366000146902
3,7,3,2,50,123,0.8585346474736729
3,7,3,2,100,7,0.8682085278328261
3,7,3,2,100,21,0.8657134672011096
3,7,3,2,100,42,0.8494047042712437
3,7,3,2,100,123,0.8604191211308289
3,7,3,2,150,7,0.8680383729796429
3,7,3,2,150,21,0.8683298675790859
3,7,3,2,150,42,0.8521028133943833
3,7,3,2,150,123,0.8540141116024861
3,7,3,4,50,7,0.8663697497034494
3,7,3,4,50,21,0.8599264786984042
3,7,3,4,50,42,0.8433366000146902
3,7,3,4,50,123,0.8585346474736729
3,7,3,4,100,7,0.8682085278328261
3,7,3,4,100,21,0.8657134672011096
3,7,3,4,100,42,0.8494047042712437
3,7,3,4,100,123,0.8604191211308289
3,7,3,4,150,7,0.8680383729796429
3,7,3,4,150,21,0.8683298675790859
3,7,3,4,150,42,0.8521028133943833
3,7,3,4,150,123,0.8540141116024861
3,7,3,6,50,7,0.8663697497034494
3,7,3,6,50,21,0.8599264786984042
3,7,3,6,50,42,0.8433366000146902
3,7,3,6,50,123,0.8585346474736729
3,7,3,6,100,7,0.8682085278328261
3,7,3,6,100,21,0.8657134672011096
3,7,3,6,100,42,0.8494047042712437
3,7,3,6,100,123,0.8604191211308289
3,7,3,6,150,7,0.8680383729796429
3,7,3,6,150,21,0.8683298675790859
3,7,3,6,150,42,0.8521028133943833
3,7,3,6,150,123,0.8540141116024861
5,3,1,2,50,7,0.8457478387545267
5,3,1,2,50,21,0.8505339725008803
5,3,1,2,50,42,0.8290994302161275
5,3,1,2,50,123,0.8453871599413766
5,3,1,2,100,7,0.8429686502106252
5,3,1,2,100,21,0.8497319719662965
5,3,1,2,100,42,0.8303646402008257
5,3,1,2,100,123,0.8501544849831758
5,3,1,2,150,7,0.8465498033743779
5,3,1,2,150,21,0.8422663896327588
5,3,1,2,150,42,0.8318408311592409
5,3,1,2,150,123,0.8470581796029262
5,3,1,4,50,7,0.8452591507466088
5,3,1,4,50,21,0.8504127019673986
5,3,1,4,50,42,0.8291960651017964
5,3,1,4,50,123,0.8454365425587683
5,3,1,4,100,7,0.8427222585175425
5,3,1,4,100,21,0.8495765483632354
5,3,1,4,100,42,0.8303979175624292
5,3,1,4,100,123,0.8497813537801738
5,3,1,4,150,7,0.8464393717217913
5,3,1,4,150,21,0.8420038138849556
5,3,1,4,150,42,0.8316332302407394
5,3,1,4,150,123,0.8467441713383106
5,3,1,6,50,7,0.8429917749312755
5,3,1,6,50,21,0.8493729785146087
5,3,1,6,50,42,0.8283229281139348
5,3,1,6,50,123,0.8440365149451594
5,3,1,6,100,7,0.8411752814421867
5,3,1,6,100,21,0.8481969813187374
5,3,1,6,100,42,0.8288234110934829
5,3,1,6,100,123,0.8484592318738988
5,3,1,6,150,7,0.8447756148637552
5,3,1,6,150,21,0.8407381024959252
5,3,1,6,150,42,0.8303911736310703
5,3,1,6,150,123,0.8452265852292994
5,3,2,2,50,7,0.8434829454103662
5,3,2,2,50,21,0.8508365005499703
5,3,2,2,50,42,0.8293971125396823
5,3,2,2,50,123,0.8452234242826859
5,3,2,2,100,7,0.8423042823286574
5,3,2,2,100,21,0.8497692293590312
5,3,2,2,100,42,0.8303003738623016
5,3,2,2,100,123,0.8492318243389964
5,3,2,2,150,7,0.8460655684226893
5,3,2,2,150,21,0.8419912290014471
5,3,2,2,150,42,0.831761661091835
5,3,2,2,150,123,0.846478257019022
5,3,2,4,50,7,0.8434829454103662
5,3,2,4,50,21,0.8508365005499703
5,3,2,4,50,42,0.8293971125396823
5,3,2,4,50,123,0.8452234242826859
5,3,2,4,100,7,0.8423042823286574
5,3,2,4,100,21,0.8497692293590312
5,3,2,4,100,42,0.8303003738623016
5,3,2,4,100,123,0.8492318243389964
5,3,2,4,150,7,0.8460655684226893
5,3,2,4,150,21,0.8419912290014471
5,3,2,4,150,42,0.831761661091835
5,3,2,4,150,123,0.846478257019022
5,3,2,6,50,7,0.8414490179760362
5,3,2,6,50,21,0.8498153372077363
5,3,2,6,50,42,0.8281641715646597
5,3,2,6,50,123,0.8432682258162524
5,3,2,6,100,7,0.8406597899790382
5,3,2,6,100,21,0.8486869499809142
5,3,2,6,100,42,0.8282852394673039
5,3,2,6,100,123,0.8475534453409235
5,3,2,6,150,7,0.8443989326705917
5,3,2,6,150,21,0.8408336005313066
5,3,2,6,150,42,0.8300613706248077
5,3,2,6,150,123,0.8447676988355617
5,3,3,2,50,7,0.8423867556818022
5,3,3,2,50,21,0.8490252804097492
5,3,3,2,50,42,0.827894830013928
5,3,3,2,50,123,0.8439146853901842
5,3,3,2,100,7,0.8406631717478934
5,3,3,2,100,21,0.8467678601280454
5,3,3,2,100,42,0.8271666041317921
5,3,3,2,100,123,0.8468018457492825
5,3,3,2,150,7,0.8439477982248154
5,3,3,2,150,21,0.8387710912698016
5,3,3,2,150,42,0.8283445178987454
5,3,3,2,150,123,0.843555381517939
5,3,3,4,50,7,0.8423867556818022
5,3,3,4,50,21,0.8490252804097492
5,3,3,4,50,42,0.827894830013928
5,3,3,4,50,123,0.8439146853901842
5,3,3,4,100,7,0.8406631717478934
5,3,3,4,100,21,0.8467678601280454
5,3,3,4,100,42,0.8271666041317921
5,3,3,4,100,123,0.8468018457492825
5,3,3,4,150,7,0.8439477982248154
5,3,3,4,150,21,0.8387710912698016
5,3,3,4,150,42,0.8283445178987454
5,3,3,4,150,123,0.843555381517939
5,3,3,6,50,7,0.8423867556818022
5,3,3,6,50,21,0.8490252804097492
5,3,3,6,50,42,0.827894830013928
5,3,3,6,50,123,0.8439146853901842
5,3,3,6,100,7,0.8406631717478934
5,3,3,6,100,21,0.8467678601280454
5,3,3,6,100,42,0.8271666041317921
5,3,3,6,100,123,0.8468018457492825
5,3,3,6,150,7,0.8439477982248154
5,3,3,6,150,21,0.8387710912698016
5,3,3,6,150,42,0.8283445178987454
5,3,3,6,150,123,0.843555381517939
5,5,1,2,50,7,0.8789614784784536
5,5,1,2,50,21,0.8887909961726421
5,5,1,2,50,42,0.8686097179795264
5,5,1,2,50,123,0.8869855823509145
5,5,1,2,100,7,0.8822084340070411
5,5,1,2,100,21,0.8881371277488587
5,5,1,2,100,42,0.8727686560028165
5,5,1,2,100,123,0.8905743277359057
5,5,1,2,150,7,0.8847431349742326
5,5,1,2,150,21,0.8838347071201194
5,5,1,2,150,42,0.8754985445462958
5,5,1,2,150,123,0.886324247653439
5,5,1,4,50,7,0.8769974582621028
5,5,1,4,50,21,0.8878973823643739
5,5,1,4,50,42,0.8669364519088051
5,5,1,4,50,123,0.8848148244065268
5,5,1,4,100,7,0.879226422794957
5,5,1,4,100,21,0.8859361423340534
5,5,1,4,100,42,0.8701730472211764
5,5,1,4,100,123,0.8888804089523366
5,5,1,4,150,7,0.8828854576163939
5,5,1,4,150,21,0.8819197633523261
5,5,1,4,150,42,0.8731677641845857
5,5,1,4,150,123,0.8855024425556837
5,5,1,6,50,7,0.8690911998259478
5,5,1,6,50,21,0.8861816728049516
5,5,1,6,50,42,0.864953471949744
5,5,1,6,50,123,0.8814051062700532
5,5,1,6,100,7,0.8746643128241531
5,5,1,6,100,21,0.882540153869309
5,5,1,6,100,42,0.865908493396723
5,5,1,6,100,123,0.8851052692529386
5,5,1,6,150,7,0.8774631955289516
5,5,1,6,150,21,0.8774494945283434
5,5,1,6,150,42,0.8692362314332496
5,5,1,6,150,123,0.8810705314465223
5,5,2,2,50,7,0.8739269569492455
5,5,2,2,50,21,0.8873892773284947
5,5,2,2,50,42,0.8660098255094146
5,5,2,2,50,123,0.8831504286726588
5,5,2,2,100,7,0.8779038163912769
5,5,2,2,100,21,0.8838031755360385
5,5,2,2,100,42,0.8687746407356061
5,5,2,2,100,123,0.8861373047316203
5,5,2,2,150,7,0.8805945144032187
5,5,2,2,150,21,0.8794254324604323
5,5,2,2,150,42,0.8707403265023143
5,5,2,2,150,123,0.8814135922186928
5,5,2,4,50,7,0.8739269569492455
5,5,2,4,50,21,0.8873892773284947
5,5,2,4,50,42,0.8660098255094146
5,5,2,4,50,123,0.8831504286726588
5,5,2,4,100,7,0.8779038163912769
5,5,2,4,100,21,0.8838031755360385
5,5,2,4,100,42,0.8687746407356061
5,5,2,4,100,123,0.8861373047316203
5,5,2,4,150,7,0.8805945144032187
